# producer=CAELIX
# when=2026-02-12T10:12:47
# cwd=
# python=
# command= /core.py --out _Output/04_confinement/04A_corral_global_sweep_optimised/20260212_101246 --corral --corral-geom sphere --traffic-mode telegraph --n 192 --traffic-iters 1 --traffic-c2 0.25 --traffic-gamma 0.001 --traffic-dt 1.0 --traffic-decay 0.0 --corral-radius 80 --corral-omega-start 0.01 --corral-omega-stop 0.62 --corral-omega-steps 1024 --corral-burn 4000 --corral-burn-frac 0.8 --corral-warm 300
# run_id=20260212_101246
# experiment=04A_corral_global_sweep_optimised
# artefact=corral
# n=192
# seed=6174
# lattice_init=sparse
# traffic_mode=telegraph
# traffic_c2=0.25
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# corral_geom=sphere
# corral_radius=80
# corral_omega_start=0.01
# corral_omega_stop=0.62
# corral_omega_steps=1024
# corral_burn=4000
# corral_warm=300
# corral_burn_frac=0.8
# corral_amp=1.0
# corral_center_offset=0,0,0
# traffic_mode=telegraph
# traffic_dt=1
# traffic_c2=0.25
# traffic_gamma=0.001
# traffic_decay=0
# traffic_inject=1
# traffic_sponge_width=0
# traffic_sponge_strength=0
# corral_mask=dirichlet
# corral_geom=sphere
# corral_radius=80
# corral_inside_count=2143611
# corral_omega_start=0.01
# corral_omega_stop=0.62
# corral_omega_steps=1024
# corral_burn_in=4000
# corral_meas_start=3200
# corral_meas_len=800
# corral_warm_steps=300
# corral_burn_frac=0.8
# corral_amp=1
# corral_center_offset=0,0,0
i_omega,omega,e_phi,e_vel,e_tot,e_tot_std,e_tot_max,e_ratio,peak_phi,peak_vel
67,0.04995112414467253,26.459323450188375,0.06823174733085166,26.527555197519238,19.03096566909417,63.75385668291674,0.002578741193413368,1.0218092203140259,0.05126339569687843
68,0.05054740957966765,29.43600222583374,0.0749339230391626,29.510936148872915,21.308865996083203,72.49254559655057,0.002545655570490352,1.0252622365951538,0.05228300765156746
69,0.05114369501466276,30.862678731484667,0.08195803083680996,30.944636762321544,22.095976389101804,72.72614408249368,0.002655570877365144,1.0284994840621948,0.05304521694779396
70,0.05173998044965787,33.87129688674714,0.09025539189098168,33.96155227863814,24.060832597364328,78.14025922282563,0.0026646571045909184,1.0318291187286377,0.053632862865924835
71,0.05233626588465298,37.46956605132052,0.09797896095287933,37.56754501227347,26.758319598108915,95.78255825489188,0.002614894467117099,1.037431001663208,0.05493192747235298
72,0.052932551319648094,45.27134943731332,0.13031604800346705,45.40166548531676,32.597099943054715,106.76328753895399,0.0028785545300325363,1.0413788557052612,0.05585271120071411
73,0.053528836754643205,47.289250762926116,0.14126479934614267,47.43051556227227,34.83468396412726,120.13927206171468,0.0029872496829002125,1.0497280359268188,0.05632326379418373
74,0.054125122189638324,59.305831058589185,0.16917190202631033,59.47500296061552,43.457633321844774,157.0930112000509,0.0028525340427179888,1.0577903985977173,0.05786096304655075
75,0.054721407624633435,87.18412416405278,0.2638529954576522,87.44797715951034,61.50304605231829,189.8629952107306,0.0030263880951669803,1.0683952569961548,0.05894507095217705
76,0.055317693059628546,85.65003451050318,0.2580303285856007,85.90806483908868,61.391767155622844,211.45476637043603,0.003012612079612831,1.0716323852539062,0.05978691577911377
77,0.05591397849462366,151.94836864418437,0.46292514028644277,152.4112937844709,109.32095348823354,371.40302727208797,0.003046595000769412,1.0981669425964355,0.06195531785488129
78,0.05651026392961877,241.53223598789933,0.8068066476546397,242.33904263555442,173.95622701166843,530.1996217118832,0.003340368395774124,1.1188242435455322,0.06337928771972656
79,0.05710654936461388,288.43344864739214,0.9496516313017824,289.3831002786946,204.17411866174555,613.763574251733,0.003292446267085762,1.126052975654602,0.06435110419988632
80,0.05770283479960899,1046.4376247863133,3.374232727624528,1049.8118575139372,723.1186981339487,2246.6204116888885,0.0032244948458476507,1.2347674369812012,0.07183163613080978
81,0.05829912023460411,2476.1930096256056,8.57419902839154,2484.7672086539974,1746.9239259826452,5133.856429195389,0.0034626537572238505,1.244157314300537,0.07277707010507584
82,0.05889540566959922,2790.880184219997,9.650735766052373,2800.5309199860494,1956.1399903958675,5846.635726195347,0.0034579541682293984,0.9834446907043457,0.057790111750364304
83,0.05949169110459433,1450.5249088088794,5.039380892964856,1455.564289701842,1014.4409818653078,3000.7315348561133,0.0034741774252625675,0.7924487590789795,0.047824427485466
84,0.060087976539589444,375.2108700715471,1.3843656019454469,376.5952356734925,266.66496093212874,850.9908161384607,0.003689566887231879,0.8817089200019836,0.052861783653497696
85,0.060684261974584555,229.76728915830842,0.875014901724504,230.642304060033,167.11317137354203,544.4792119058302,0.0038082657672024833,0.9153969883918762,0.05597947910428047
86,0.061280547409579667,179.2270402405662,0.6500573480899652,179.87709758865614,126.30137560811762,396.9795713341472,0.003627004871683574,0.927635669708252,0.05733469873666763
87,0.061876832844574785,82.73874573699483,0.31637309156697635,83.05511882856193,58.04685963871388,187.3633100591188,0.003823759820733096,0.9555640816688538,0.05937961861491203
88,0.062473118279569896,81.51757485713071,0.3180304043652171,81.83560526149596,58.73732175538527,186.2269764644094,0.0039013722491450403,0.9585974812507629,0.060680147260427475
89,0.063069403714565,62.09625901682313,0.24342756979690036,62.33968658661993,45.89508999439194,156.46347981579183,0.0039201648159021465,0.9741992354393005,0.06143123656511307
90,0.06366568914956011,42.67996142987484,0.18013334105045078,42.86009477092527,30.932490550865406,107.19787010425883,0.004220560071180337,0.9802101850509644,0.06272000074386597
91,0.06426197458455522,43.4569420192767,0.17921231484411998,43.636154334120775,30.961043696298017,101.10627186864431,0.004123905330582638,0.9830545783042908,0.0637722834944725
92,0.06485826001955033,36.086718314071916,0.14571756480646153,36.23243587887836,25.94301425316843,93.79289275044843,0.0040379832695852345,0.9911925792694092,0.06458248198032379
93,0.06545454545454546,31.63836634442587,0.1357885264204096,31.77415487084635,22.700481382239172,78.10304307255107,0.00429189437097244,0.9975997805595398,0.0654769018292427
94,0.06605083088954057,29.37380216097824,0.13001268560323453,29.50381484658148,21.20151621996421,74.31258479471377,0.004426144252307454,1.0011794567108154,0.06627248227596283
95,0.06664711632453568,28.277331767860442,0.1250551406557737,28.40238690851615,20.326085417228178,72.31750009589263,0.004422451937205226,1.0066810846328735,0.06708357483148575
96,0.0672434017595308,26.483762618929052,0.12197475707034687,26.60573737599944,18.738806609511315,57.56587271840238,0.004605643043453418,1.0106201171875,0.06831859052181244
97,0.0678396871945259,25.650573405068325,0.11744417369319317,25.76801757876146,18.09018460945226,62.55583990424388,0.004578617867075934,1.0117424726486206,0.06888704746961594
