# producer=CAELIX
# when=2026-02-11T17:31:31
# cwd=
# python=
# command= /core.py --out _Output/01_baseline/01B_pipeline_baseline_sponge_boundary/20260211_173130 --n 512 --steps 0 --traffic-iters 250000 --traffic-rate 0.10 --traffic-inject 1.0 --traffic-decay 0.0 --traffic-boundary sponge --traffic-sponge-width 32 --traffic-sponge-strength 1.0 --k-index 1.0 --X0 8000 --ds 1.0 --eps 0.005 --delta-load --dump-radial _Output/01_baseline/01B_pipeline_baseline_sponge_boundary/20260211_173130/_csv/01B_pipeline_baseline_sponge_boundary_radial_n512_20260211_173130.csv --dump-radial-fit _Output/01_baseline/01B_pipeline_baseline_sponge_boundary/20260211_173130/_csv/01B_pipeline_baseline_sponge_boundary_radial_fit_n512_20260211_173130.csv --dump-shapiro _Output/01_baseline/01B_pipeline_baseline_sponge_boundary/20260211_173130/_csv/01B_pipeline_baseline_sponge_boundary_shapiro_n512_20260211_173130.csv
# run_id=20260211_173130
# n=512
# steps=0
# traffic_iters=250000
# seed=6174
# lattice_init=sparse
# artefact=radial
r,mean_phi,count,std_phi
85.0,0.01947035640478134,91712,0.00031283346470445395
86.0,0.018936192616820335,93912,0.00030401640105992556
87.0,0.018418535590171814,96008,0.0002953503862954676
88.0,0.017915215343236923,98328,0.00028681830735877156
89.0,0.017425570636987686,100544,0.00027858378598466516
90.0,0.016950273886322975,102824,0.00027080433210358024
91.0,0.016486702486872673,105648,0.00026358303148299456
92.0,0.01603604108095169,107816,0.00025603396352380514
93.0,0.015598095022141933,109968,0.0002487157180439681
94.0,0.015172800980508327,112448,0.00024190000840462744
95.0,0.014761359430849552,113616,0.0002346032706554979
96.0,0.014360032044351101,117848,0.00022901319607626647
97.0,0.01396890077739954,119120,0.00022211710165720433
98.0,0.013589583337306976,121920,0.0002161798474844545
99.0,0.013221058063209057,123848,0.000210081459954381
100.0,0.012861821800470352,127536,0.00020483943808358163
101.0,0.012512348592281342,128744,0.00019871826225426048
102.0,0.012172067537903786,133008,0.00019392903777770698
103.0,0.01184012833982706,134456,0.00018829049076884985
104.0,0.011517348699271679,138272,0.00018363755953032523
105.0,0.011203947477042675,139152,0.00017810285498853773
106.0,0.010900067165493965,142376,0.000173460430232808
107.0,0.010604984126985073,144048,0.0001685198803897947
108.0,0.0103170620277524,148136,0.0001644489384489134
109.0,0.010035826824605465,150920,0.00016009739192668349
110.0,0.009761953726410866,153624,0.0001557722280267626
111.0,0.009495727717876434,156008,0.00015152135165408254
112.0,0.009236318059265614,159792,0.0001477550104027614
113.0,0.008983567357063293,161768,0.00014361535431817174
114.0,0.008737980388104916,165240,0.0001398649183101952
115.0,0.008498736657202244,167240,0.00013597864017356187
116.0,0.008265749551355839,171704,0.00013271182251628488
117.0,0.008039437234401703,172104,0.00012871125363744795
118.0,0.007819459773600101,176984,0.00012565056385938078
119.0,0.007605074904859066,178584,0.0001220938138430938
120.0,0.007396560162305832,182216,0.00011899871606146917
121.0,0.0071923574432730675,187248,0.00011616185656748712
122.0,0.006993557326495647,188000,0.00011272161646047607
123.0,0.006801323965191841,190952,0.00010974062024615705
124.0,0.006613837089389563,194832,0.00010696214303607121
125.0,0.006430743727833033,198224,0.00010417075827717781
126.0,0.0062524680979549885,201384,0.00010142369865207002
127.0,0.006079737097024918,202400,9.849874913925305e-05
128.0,0.005910990294069052,209232,9.630670683691278e-05
129.0,0.005746146664023399,210176,9.350002073915675e-05
130.0,0.005586304236203432,213992,9.111288818530738e-05
131.0,0.005430497694760561,217416,8.87231799424626e-05
132.0,0.005278632510453463,220856,8.637850260129198e-05
133.0,0.005130526144057512,224928,8.415542833972722e-05
134.0,0.004986535292118788,227000,8.183559111785144e-05
135.0,0.004846650641411543,230648,7.970113074406981e-05
136.0,0.004710318986326456,234576,7.759903382975608e-05
137.0,0.004577948711812496,235472,7.535593613283709e-05
138.0,0.004449033178389072,242424,7.36662041163072e-05
139.0,0.004323269240558147,243032,7.147721044020727e-05
140.0,0.004200691822916269,249936,6.978918827371672e-05
141.0,0.004081303253769875,250424,6.774760549888015e-05
142.0,0.0039652022533118725,256472,6.61444864817895e-05
143.0,0.0038521233946084976,258384,6.42709928797558e-05
144.0,0.0037420790176838636,262832,6.259400834096596e-05
145.0,0.0036350309383124113,265848,6.089711678214371e-05
146.0,0.003530873218551278,269624,5.929307371843606e-05
147.0,0.0034294305369257927,273744,5.773607699666172e-05
148.0,0.003330845385789871,276272,5.611998130916618e-05
149.0,0.0032350963447242975,279440,5.46052870049607e-05
150.0,0.003141709603369236,285576,5.32791564182844e-05
151.0,0.0030506558250635862,287648,5.1772607548628e-05
152.0,0.002961791818961501,295008,5.0537066272227094e-05
153.0,0.002875347388908267,295112,4.9040972953662276e-05
154.0,0.0027916666585952044,299592,4.777775757247582e-05
155.0,0.002710218308493495,303320,4.649663969757967e-05
156.0,0.0026305625215172768,310016,4.535169500741176e-05
157.0,0.0025533323641866446,309192,4.39953691966366e-05
158.0,0.0024784060660749674,316424,4.294235986890271e-05
159.0,0.0024050837382674217,320208,4.178153176326305e-05
160.0,0.0023339479230344296,323072,4.065780740347691e-05
161.0,0.002264861948788166,326864,3.96025825466495e-05
162.0,0.002197377849370241,334296,3.866251063300297e-05
163.0,0.0021316418424248695,335648,3.75683703168761e-05
164.0,0.002067794091999531,341520,3.664461473817937e-05
165.0,0.002005972433835268,341048,3.561200719559565e-05
166.0,0.001945892465300858,348888,3.481076782918535e-05
167.0,0.0018872361397370696,352400,3.392121288925409e-05
168.0,0.001830205786973238,356336,3.309541352791712e-05
169.0,0.001774692558683455,362304,3.233872484997846e-05
170.0,0.0017206602497026324,365264,3.1535830203210935e-05
171.0,0.0016682506538927555,368616,3.076913344557397e-05
172.0,0.0016171823954209685,375704,3.0130462619126774e-05
173.0,0.0015675465110689402,376488,2.9431061193463393e-05
174.0,0.0015193973667919636,383984,2.8841866878792644e-05
175.0,0.0014723767526447773,386672,2.8221513275639154e-05
176.0,0.0014267406659200788,392592,2.7708822017302737e-05
177.0,0.0013824701309204102,393872,2.7175296054338105e-05
178.0,0.0013394218403846025,401208,2.673488052096218e-05
179.0,0.0012975165154784918,403976,2.6289715606253594e-05
180.0,0.0012568564852699637,408128,2.5920666303136386e-05
181.0,0.0012172701535746455,415608,2.5614106561988592e-05
182.0,0.0011786282993853092,419144,2.531662175897509e-05
183.0,0.0011412410531193018,422064,2.506157943571452e-05
184.0,0.0011047940934076905,430064,2.489523649273906e-05
185.0,0.001069396617822349,430584,2.4732478777877986e-05
186.0,0.0010350586380809546,438752,2.467744707246311e-05
187.0,0.0010015947045758367,441392,2.4628547180327587e-05
188.0,0.0009690707083791494,447744,2.4669694539625198e-05
189.0,0.0009375803638249636,449288,2.4715431209187955e-05
190.0,0.0009069685474969447,455136,2.48386240855325e-05
191.0,0.0008771894499659538,461600,2.5022096451721154e-05
192.0,0.0008481402765028179,465072,2.531261634430848e-05
193.0,0.0008200308657251298,471752,2.5575116524123587e-05
194.0,0.0007924996898509562,478520,2.5952393116313033e-05
195.0,0.0007659014081582427,476400,2.6341369448346086e-05
196.0,0.0007402351475320756,484112,2.6825955501408316e-05
197.0,0.000715077156201005,489240,2.7334139304002747e-05
198.0,0.0006906988564878702,497408,2.7893642254639417e-05
199.0,0.0006668384303338826,499944,2.8538273909362033e-05
200.0,0.0006438163109123707,505232,2.9243583412608132e-05
201.0,0.000621326151303947,510488,2.998712625412736e-05
202.0,0.0005995078827254474,516360,3.077951987506822e-05
203.0,0.0005783013184554875,520160,3.1642433896195143e-05
204.0,0.0005576939438469708,524856,3.257214484619908e-05
205.0,0.0005376959452405572,531440,3.350491533637978e-05
206.0,0.0005181630258448422,535064,3.453351746429689e-05
207.0,0.0004992476897314191,541560,3.5586697777034715e-05
208.0,0.0004809107049368322,545096,3.67108550562989e-05
209.0,0.00046297069638967514,549408,3.78839613404125e-05
210.0,0.00044553395127877593,560864,3.908110375050455e-05
211.0,0.0004286055627744645,559680,4.036522295791656e-05
212.0,0.0004120409721508622,569936,4.1731498640729114e-05
213.0,0.00039602775359526277,572312,4.3154974264325574e-05
214.0,0.0003804143634624779,577920,4.4522283133119345e-05
215.0,0.0003652528394013643,583424,4.607042501447722e-05
216.0,0.0003504099731799215,588648,4.763973629451357e-05
217.0,0.00033605561475269496,594776,4.926529436488636e-05
218.0,0.00032198920962400734,600840,5.095768574392423e-05
219.0,0.00030837106169201434,603800,5.2656141633633524e-05
220.0,0.0002951418864540756,612896,5.442841938929632e-05
221.0,0.00028210165328346193,611616,5.6397999287582934e-05
222.0,0.0002696010342333466,627128,5.815819895360619e-05
223.0,0.0002570858341641724,626136,6.030076838214882e-05
224.0,0.00024508198839612305,635480,6.233163003344089e-05
225.0,0.00023353571305051446,637800,6.442050653276965e-05
226.0,0.00022205481946002692,643424,6.642239168286324e-05
227.0,0.0002112830406986177,651392,6.791324994992465e-05
228.0,0.00020054599735885859,654384,6.928771472303197e-05
229.0,0.00019074119336437434,662816,6.990315887378529e-05
230.0,0.00018113356782123446,669720,7.036094029899687e-05
231.0,0.00017181102884933352,671144,7.038166222628206e-05
232.0,0.00016330047219526023,680480,7.006941450526938e-05
233.0,0.00015492498641833663,682488,6.958704761927947e-05
234.0,0.00014711527910549194,693920,6.881919398438185e-05
235.0,0.00013935635797679424,694896,6.793854845454916e-05
236.0,0.00013229566684458405,705056,6.684282561764121e-05
237.0,0.00012553967826534063,708264,6.563503120560199e-05
238.0,0.00011894001363543794,712400,6.442060112021863e-05
239.0,0.00011276727309450507,720248,6.301706162048504e-05
240.0,0.00010685744928196073,729072,6.157335155876353e-05
241.0,0.00010124535037903115,734144,6.011207733536139e-05
242.0,9.581299673300236e-05,738168,5.863209662493318e-05
243.0,9.072576358448714e-05,745544,5.700796828023158e-05
244.0,8.594197424827144e-05,752664,5.5432166846003383e-05
245.0,8.136319229379296e-05,757208,5.381739902077243e-05
246.0,7.701996946707368e-05,763256,5.223933112574741e-05
247.0,7.271241338457912e-05,768288,5.067369420430623e-05
248.0,6.875056715216488e-05,777056,4.90282618557103e-05
249.0,6.512116669910029e-05,780744,4.746342165162787e-05
250.0,6.144294457044452e-05,788144,4.588008232531138e-05
251.0,5.817224155180156e-05,791808,4.4327218347461894e-05
252.0,5.491547199198976e-05,806408,4.2800205847015604e-05
253.0,5.1731487474171445e-05,807872,4.129696390009485e-05
254.0,4.886605893261731e-05,815640,3.979642497142777e-05
255.0,4.611582335201092e-05,816056,3.83242113457527e-05
256.0,4.38907700299751e-05,825384,3.6860641557723284e-05
257.0,4.169325256953016e-05,816008,3.5381413908908144e-05
258.0,3.981279587605968e-05,815168,3.3969696232816204e-05
259.0,3.802102946792729e-05,812040,3.2607014873065054e-05
260.0,3.6164237826596946e-05,810632,3.126629599137232e-05
261.0,3.4522166970418766e-05,803952,3.0011489798198454e-05
262.0,3.2769043173175305e-05,801176,2.8760990971932188e-05
263.0,3.13839154841844e-05,796464,2.7568559744395316e-05
264.0,2.9787581297568977e-05,796616,2.643719381012488e-05
265.0,2.829588993336074e-05,788672,2.5328068659291603e-05
266.0,2.697752097446937e-05,788064,2.4284172468469478e-05
267.0,2.560107532190159e-05,782264,2.3222321033244953e-05
268.0,2.442343429720495e-05,778392,2.2253192582866177e-05
269.0,2.3119970137486234e-05,776240,2.128255073330365e-05
270.0,2.1950110749457963e-05,772560,2.038688398897648e-05
271.0,2.0884957848466e-05,767360,1.9485341908875853e-05
272.0,1.978791260626167e-05,765776,1.8636517779668793e-05
273.0,1.87757977982983e-05,760248,1.7812906662584282e-05
274.0,1.7773962099454366e-05,754016,1.7028232832672074e-05
275.0,1.6906922610360198e-05,751560,1.6266354577965103e-05
276.0,1.5960447854013182e-05,746672,1.5525367416557856e-05
277.0,1.5093972251634113e-05,740336,1.4822067896602675e-05
278.0,1.4323555660666898e-05,740688,1.4167304470902309e-05
279.0,1.3514359125110786e-05,732248,1.350693764834432e-05
280.0,1.2777145457221195e-05,729768,1.2873187188233715e-05
281.0,1.2078744475729764e-05,724928,1.228714518219931e-05
282.0,1.141002394433599e-05,723240,1.1706468285410665e-05
283.0,1.0750490218924824e-05,715208,1.1146605174872093e-05
284.0,1.0136727723875083e-05,711512,1.0621295587043278e-05
285.0,9.566808330419008e-06,707016,1.010706000670325e-05
286.0,8.99464066606015e-06,701480,9.627326107874978e-06
287.0,8.457671356154606e-06,697584,9.148275239567738e-06
288.0,7.966479643073399e-06,691640,8.69910218170844e-06
289.0,7.48096590541536e-06,687312,8.27625444799196e-06
290.0,7.05329102856922e-06,684104,7.864582585170865e-06
291.0,6.576265150215477e-06,675008,7.471705885109259e-06
292.0,6.1973187257535756e-06,674400,7.084439403115539e-06
293.0,5.7933543757826556e-06,665408,6.736307113897055e-06
294.0,5.427886662801029e-06,665712,6.392856903403299e-06
295.0,5.07900767843239e-06,657392,6.053826837160159e-06
296.0,4.732531579065835e-06,650424,5.743553174397675e-06
297.0,4.471573447517585e-06,647528,5.455371137941256e-06
298.0,4.123771304875845e-06,642152,5.154362952453084e-06
299.0,3.854629540001042e-06,634008,4.88632849737769e-06
300.0,3.596788246795768e-06,632360,4.622100732376566e-06
301.0,3.3596552384551615e-06,623928,4.394782536110142e-06
302.0,3.116881316600484e-06,619880,4.142340003454592e-06
303.0,2.8852214200014714e-06,613280,3.916232799383579e-06
304.0,2.7016526473744307e-06,610584,3.715259254022385e-06
305.0,2.493972942829714e-06,601184,3.506901066430146e-06
306.0,2.314308403583709e-06,595632,3.313323304610094e-06
307.0,2.1424959868454607e-06,592232,3.1308848065236816e-06
308.0,1.9954986782977358e-06,585384,2.9684229048143607e-06
309.0,1.8449009075993672e-06,578672,2.794761485347408e-06
310.0,1.6974588561424753e-06,575288,2.6357508886576397e-06
311.0,1.573823510625516e-06,566112,2.487736537659657e-06
312.0,1.4595046877730056e-06,562400,2.3546854208689183e-06
313.0,1.346902308796416e-06,555072,2.2145986804389395e-06
314.0,1.2344023616606137e-06,553088,2.0801921891688835e-06
315.0,1.1493921192595735e-06,540864,1.9686788164108293e-06
316.0,1.062573687704571e-06,537848,1.8553305380919483e-06
317.0,9.771005125003285e-07,528728,1.7399180478605558e-06
318.0,8.995974667413975e-07,523680,1.6340733282049769e-06
319.0,8.359045864381187e-07,519632,1.5429675386258168e-06
320.0,7.725693080828933e-07,510600,1.4480544905381976e-06
321.0,7.077020427459502e-07,504560,1.354574578726897e-06
322.0,6.529215283990197e-07,498480,1.2693329836110934e-06
323.0,6.099035658735374e-07,492176,1.2001141840300988e-06
324.0,5.582762696576538e-07,486368,1.119418811867945e-06
325.0,5.116256147630338e-07,476544,1.0431137980049243e-06
326.0,4.7176854423014447e-07,473912,9.773963256520801e-07
327.0,4.3975120433970005e-07,463536,9.207884090756124e-07
328.0,4.0132403000825434e-07,458504,8.559275670450006e-07
329.0,3.6697278460451344e-07,450440,7.954442935442785e-07
330.0,3.410689259908395e-07,443952,7.482418595827767e-07
331.0,3.1225840757542755e-07,439808,6.971876018724288e-07
332.0,2.867101329684374e-07,429456,6.471784672612557e-07
333.0,2.591872600987699e-07,423200,5.978154717922735e-07
334.0,2.441875892600365e-07,416184,5.662091098201927e-07
335.0,2.2118659614989156e-07,407576,5.232184321357636e-07
336.0,2.0095187380775315e-07,403352,4.819275432055292e-07
337.0,1.8390988998362445e-07,391776,4.472083503515023e-07
338.0,1.7005358188271202e-07,390104,4.196358247554599e-07
339.0,1.548016257402196e-07,378552,3.862254516207031e-07
340.0,1.38820169581777e-07,371720,3.5385332353143895e-07
341.0,1.280970423067629e-07,365760,3.2976424790831516e-07
342.0,1.178205053520287e-07,356912,3.068794853788859e-07
343.0,1.0561523566821052e-07,350264,2.799763194616389e-07
344.0,9.472466899751453e-08,340944,2.5524141733512806e-07
345.0,8.773275794737856e-08,335024,2.3949880301188387e-07
346.0,7.944163371575996e-08,326856,2.1932387994638702e-07
347.0,7.123730227931446e-08,317768,1.9951797014527983e-07
348.0,6.27115213092111e-08,311304,1.8009356494985695e-07
349.0,6.020095355552257e-08,301808,1.7150513542674162e-07
350.0,5.215989062890003e-08,297656,1.5339276160375448e-07
351.0,4.656030938576805e-08,284928,1.381916092668689e-07
352.0,4.1479630397134315e-08,280232,1.2562827578221913e-07
353.0,3.8675576519153765e-08,270408,1.1761304818946883e-07
354.0,3.395624759150451e-08,263048,1.0502987635163663e-07
355.0,2.9259437539508326e-08,255128,9.27531900174472e-08
356.0,2.6964883659275074e-08,246336,8.5721197251587e-08
357.0,2.4445013124818615e-08,238400,7.85832909855344e-08
358.0,2.0879827644648685e-08,229176,6.87521151121473e-08
359.0,1.7827062492870027e-08,220832,6.00131713213159e-08
360.0,1.71352017019899e-08,212928,5.7149261323274914e-08
361.0,1.479700983963994e-08,204368,5.041465911403975e-08
362.0,1.2366043300460206e-08,197120,4.326782487851233e-08
363.0,1.0422963825362785e-08,188232,3.7088600635115654e-08
364.0,1.0061925515003622e-08,182336,3.57638683112782e-08
365.0,8.269791962334239e-09,174936,3.039451001995985e-08
366.0,6.570204380551559e-09,169592,2.5057966368535745e-08
367.0,5.675633296675642e-09,162624,2.1727142751615247e-08
368.0,5.234052746772022e-09,158528,2.029026013872226e-08
369.0,4.095582539775933e-09,152720,1.671210547726787e-08
370.0,3.033202577995553e-09,145752,1.2989873177104982e-08
371.0,2.7815141301346102e-09,142496,1.1677546041255482e-08
372.0,2.3850874608655204e-09,137400,1.0327155131051313e-08
373.0,1.7662605822366118e-09,132200,8.164691145395864e-09
374.0,1.1383530784669915e-09,126560,5.722796014850928e-09
375.0,1.193170451330161e-09,123552,5.6077342769356164e-09
376.0,9.090122543575774e-10,118760,4.488815097403176e-09
377.0,6.211303693604009e-10,113784,3.3543929855994747e-09
378.0,3.349369948058012e-10,109880,2.046628200247369e-09
379.0,3.881222010448937e-10,106776,2.1372525971230516e-09
380.0,2.583534775002505e-10,102128,1.5139131059882516e-09
381.0,1.5389652052721914e-10,98936,1.019263562440642e-09
382.0,7.284148978436988e-11,94680,5.546178516446787e-10
383.0,7.890010866873354e-11,91664,5.38503075464547e-10
384.0,4.426980657057378e-11,87864,3.25006854762222e-10
385.0,2.0899585881362093e-11,83840,1.8120528688658766e-10
386.0,9.257127182860092e-12,81216,8.295703013416755e-11
387.0,7.528251459720803e-12,78080,6.572433569607128e-11
388.0,3.0855272763891106e-12,75008,2.8874640525811124e-11
389.0,7.310614245047142e-13,70872,9.729080388543032e-12
390.0,6.610719458823022e-13,69080,6.689983636509744e-12
391.0,1.96536593965492e-13,66624,2.096193661357826e-12
392.0,5.1869427942228055e-14,62744,5.724870989591568e-13
393.0,8.115203286110113e-15,59712,1.215316096456892e-13
394.0,5.211194872162001e-15,58448,6.030711276498388e-14
395.0,9.37136182897595e-16,55160,1.1055797594148979e-14
396.0,1.425422910190897e-16,52368,1.7084358084587699e-15
397.0,1.380499591390979e-17,50360,2.1164875780514247e-16
398.0,6.273773276194671e-18,48264,7.622691690824804e-17
399.0,6.373315467326266e-19,45656,7.795210299176211e-18
400.0,5.4940864534329e-20,42680,6.74947119799381e-19
401.0,3.687090533589064e-21,41448,4.7295996689628564e-20
402.0,1.0231664780235842e-21,39224,1.2393955695024587e-20
403.0,5.75714853815874e-23,37248,6.928062731496212e-22
404.0,2.33448357099914e-24,34616,3.2652871376819176e-23
405.0,5.727798238483655e-25,33768,6.547607044485005e-24
406.0,2.1451882863151762e-26,31664,0.0
407.0,6.948035423032432e-28,28952,0.0
408.0,1.568948748155509e-29,27840,0.0
409.0,2.78884755794734e-30,26720,0.0
410.0,5.838673975315373e-32,24648,0.0
411.0,1.0355378811969743e-33,22664,0.0
412.0,1.3637400422836026e-35,21456,0.0
413.0,1.7185610462257205e-36,20528,0.0
414.0,1.99728177146003e-38,18632,0.0
415.0,1.923268129301168e-40,16968,0.0
416.0,2.6246320236803824e-42,16808,0.0
417.0,1.317220556465328e-43,14856,0.0
418.0,1.401298464324817e-45,13448,0.0
419.0,0.0,12168,0.0
420.0,0.0,12440,0.0
421.0,0.0,10592,0.0
422.0,0.0,9000,0.0
423.0,0.0,8504,0.0
424.0,0.0,8496,0.0
425.0,0.0,7136,0.0
426.0,0.0,5384,0.0
427.0,0.0,5568,0.0
428.0,0.0,5288,0.0
429.0,0.0,4248,0.0
430.0,0.0,2624,0.0
431.0,0.0,3432,0.0
432.0,0.0,2888,0.0
433.0,0.0,2240,0.0
434.0,0.0,1032,0.0
435.0,0.0,1568,0.0
436.0,0.0,1152,0.0
437.0,0.0,800,0.0
438.0,0.0,288,0.0
439.0,0.0,392,0.0
440.0,0.0,200,0.0
441.0,0.0,72,0.0
442.0,0.0,8,0.0
