# producer=CAELIX
# when=2026-02-25T11:46:46
# cwd=
# python=
# command= /core.py --out _Output/06_relativity/06D_relativity_twin_paradox_threshold_lock/20260225_114645 --relativity --traffic-mode telegraph --n 512 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.0 --rel-L 48 --rel-v-frac 0.3 --rel-v-frac-ref 0.1 --rel-steps 1500 --rel-slab 8 --rel-amp 500 --rel-sigma 2.25 --rel-threshold 0.01 --rel-refractory 10
# run_id=20260225_114645
# experiment=06D_relativity_twin_paradox_threshold_lock
# artefact=relativity
# n=512
# seed=6174
# lattice_init=sparse
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# rel_steps=1500
# rel_L=48
# rel_v_frac=0.3
# rel_v_frac_ref=0.1
# rel_v_ref=0.05567764362830022
# rel_v=0.16703293088490065
# rel_slab=8
# rel_amp=500.0
# rel_sigma=2.25
# rel_threshold=0.01
# rel_refractory=10
t,x_s,x_s_f,x_m,v_ref,a_sx,a_sy,b_sx,b_sy,a_mx,a_my,b_mx,b_my,phi_sa,phi_sb,phi_ma,phi_mb,e_sa,e_sb,e_ma,e_mb,hit_sa,hit_sb,hit_ma,hit_mb,hits_sa,hits_sb,hits_ma,hits_mb,T0_est,Tp_est,c_axis_est,c_diag_est,ratio_est,gamma_corr_est,gamma_pred_axis,anisotropy_A,ratio_pred,ratio_err,gamma_sr
37,16,16.060073,20,0.0556776,16,232,16,280,20,232,20,280,-1.090278625e+02,0.000000000e+00,-1.585832062e+02,0.000000000e+00,2.954914497e+06,0.000000000e+00,3.755532381e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
38,16,16.115750,20,0.0556776,16,232,16,280,20,232,20,280,-7.381153870e+01,0.000000000e+00,-1.214788284e+02,0.000000000e+00,2.526039316e+06,0.000000000e+00,3.125327847e+06,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
39,16,16.171428,21,0.0556776,16,232,16,280,21,232,21,280,-4.518161392e+01,0.000000000e+00,-1.044350433e+02,0.000000000e+00,2.244346279e+06,6.574938701e-38,2.871174494e+06,2.127908151e-40,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
40,16,16.227106,21,0.0556776,16,232,16,280,21,232,21,280,-2.468663025e+01,0.000000000e+00,-7.104185486e+01,0.000000000e+00,2.057538270e+06,1.858804575e-34,2.436514677e+06,8.953399796e-37,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
41,16,16.282783,21,0.0556776,16,232,16,280,21,232,21,280,-1.210327244e+01,3.727825544e-21,-4.382467270e+01,4.377818934e-23,1.910415262e+06,1.325093876e-31,2.120343582e+06,9.092767918e-34,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
42,16,16.338461,21,0.0556776,16,232,16,280,21,232,21,280,-6.109766960e+00,2.087751650e-19,-2.404668045e+01,3.395527139e-21,1.759648499e+06,4.230230053e-29,1.880177000e+06,3.986962633e-31,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
43,16,16.394139,21,0.0556776,16,232,16,280,21,232,21,280,-5.043047905e+00,5.856096698e-18,-1.133876705e+01,1.321418702e-19,1.577885359e+06,7.646801953e-27,1.667455474e+06,9.600228933e-29,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
44,16,16.449816,21,0.0556776,16,232,16,280,21,232,21,280,-7.380384445e+00,1.096989591e-16,-4.282938480e+00,3.323446265e-18,1.354832858e+06,8.897506532e-25,1.443063979e+06,1.449746150e-26,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
45,17,16.505494,22,0.0556776,17,232,17,280,22,232,22,280,-5.059775829e+00,1.084296405e-15,-3.059588909e+00,1.943375153e-17,9.688303430e+05,4.913591870e-23,1.301755375e+06,3.550912469e-25,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
46,17,16.561172,22,0.0556776,17,232,17,280,22,232,22,280,-8.603438377e+00,1.254995101e-14,-7.712864876e-01,3.048328905e-16,6.875687607e+05,2.994298511e-21,1.025733857e+06,2.900797124e-23,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
47,17,16.616849,22,0.0556776,17,232,17,280,22,232,22,280,-1.300776386e+01,1.209100230e-13,-1.415045857e-01,3.842112650e-15,4.464782166e+05,1.400731313e-19,7.300019581e+05,1.776147758e-21,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
48,17,16.672527,22,0.0556776,17,232,17,280,22,232,22,280,-1.828127861e+01,9.975124025e-13,-8.747711778e-02,4.033637641e-14,2.901112571e+05,5.187607307e-18,4.494752356e+05,8.431795032e-20,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
49,17,16.728205,22,0.0556776,17,232,17,280,22,232,22,280,-2.452202225e+01,7.194544873e-12,-9.365851432e-02,3.618875761e-13,2.421521888e+05,1.558241167e-16,2.316412902e+05,3.187519741e-18,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
50,17,16.783882,22,0.0556776,17,232,17,280,22,232,22,280,-3.156470490e+01,4.608574980e-11,-9.865848720e-02,2.828571362e-12,2.906385280e+05,3.870808876e-15,1.187312518e+05,9.805489824e-17,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
51,17,16.839560,23,0.0556776,17,232,17,280,23,232,23,280,-3.872240448e+01,2.654547138e-10,3.183630705e-01,8.426023768e-12,3.907043533e+05,8.079636893e-14,1.184252708e+05,7.865156293e-16,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
52,17,16.895237,23,0.0556776,17,232,17,280,23,232,23,280,-4.475688934e+01,1.388701154e-09,5.093762875e-01,5.508546744e-11,4.872256290e+05,1.436063236e-12,1.838152166e+05,1.801854684e-14,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
53,17,16.950915,23,0.0556776,17,232,17,280,23,232,23,280,-4.804790115e+01,6.652439488e-09,7.710214853e-01,3.240491764e-10,5.470153951e+05,2.197947577e-11,3.310141569e+05,3.498586013e-13,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
54,17,17.006593,23,0.0556776,17,232,17,280,23,232,23,280,-4.682435608e+01,2.938171129e-08,1.296682715e+00,1.730758314e-09,5.824264995e+05,2.924702635e-10,5.028012422e+05,5.822673678e-12,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
55,17,17.062270,23,0.0556776,17,232,17,280,23,232,23,280,-3.936761475e+01,1.203397915e-07,2.317284822e+00,8.456236600e-09,6.520920779e+05,3.411550216e-09,6.428828862e+05,8.387579050e-11,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
56,17,17.117948,23,0.0556776,17,232,17,280,23,232,23,280,-2.423222160e+01,4.593316305e-07,4.016002178e+00,3.803726756e-08,8.384345881e+05,3.513534268e-08,7.165191484e+05,1.054658587e-09,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
57,17,17.173626,24,0.0556776,17,232,17,280,24,232,24,280,-5.753644705e-01,1.640908749e-06,8.106327057e+00,8.265158158e-08,1.214951922e+06,3.215057981e-07,7.697514081e+05,4.588844945e-09,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
58,17,17.229303,24,0.0556776,17,232,17,280,24,232,24,280,3.142526245e+01,5.506809885e-06,1.224606419e+01,3.330829941e-07,1.818950539e+06,2.628408145e-06,7.636878691e+05,4.735372111e-08,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
59,17,17.284981,24,0.0556776,17,232,17,280,24,232,24,280,7.023678589e+01,1.741772940e-05,1.773980904e+01,1.250633318e-06,2.637673127e+06,1.929265400e-05,7.146213793e+05,4.337760437e-07,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
60,17,17.340659,24,0.0556776,17,232,17,280,24,232,24,280,1.129143906e+02,5.207280265e-05,2.464733124e+01,4.392343271e-06,3.607245227e+06,1.277003687e-04,6.492710904e+05,3.546454274e-06,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
61,17,17.396336,24,0.0556776,17,232,17,280,24,232,24,280,1.553877106e+02,1.475263416e-04,3.282320023e+01,1.447993418e-05,4.621401762e+06,7.652492560e-04,5.913840418e+05,2.600449033e-05,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
62,17,17.452014,24,0.0556776,17,232,17,280,24,232,24,280,1.930126038e+02,3.969703102e-04,4.191487122e+01,4.494581663e-05,5.548326943e+06,4.166438045e-03,5.577314577e+05,1.717596764e-04,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
63,18,17.507692,25,0.0556776,18,232,18,280,25,232,25,280,1.850127411e+02,8.759110933e-04,5.360842133e+01,7.952576561e-05,4.973354561e+06,1.659618248e-02,6.642458605e+05,4.894464937e-04,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
64,18,17.563369,25,0.0556776,18,232,18,280,25,232,25,280,2.141995239e+02,2.159014111e-03,6.334212112e+01,2.275750448e-04,5.718528417e+06,7.627050514e-02,6.689986463e+05,2.773233976e-03,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
65,18,17.619047,25,0.0556776,18,232,18,280,25,232,25,280,2.306112671e+02,5.079977214e-03,7.157352448e+01,6.167978863e-04,6.160713402e+06,3.211386577e-01,6.878792663e+05,1.427895242e-02,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
66,18,17.674724,25,0.0556776,18,232,18,280,25,232,25,280,2.316863708e+02,1.142710447e-02,7.733088684e+01,1.586716040e-03,6.243977262e+06,1.241845588e+00,7.097550232e+05,6.701723165e-02,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
67,18,17.730402,25,0.0556776,18,232,18,280,25,232,25,280,2.172081146e+02,2.460741997e-02,7.988846588e+01,3.881851677e-03,5.977132635e+06,4.420089757e+00,7.288675433e+05,2.875323787e-01,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
68,18,17.786080,25,0.0556776,18,232,18,280,25,232,25,280,1.894857635e+02,5.078940094e-02,7.907152557e+01,9.047416970e-03,5.425686746e+06,1.450877969e+01,7.541561070e+05,1.130611683e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
69,18,17.841757,26,0.0556776,18,232,18,280,26,232,26,280,1.528805695e+02,1.005808040e-01,7.773583221e+01,1.371084806e-02,4.688588730e+06,4.399555905e+01,6.818524813e+05,2.324713609e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
70,18,17.897435,26,0.0556776,18,232,18,280,26,232,26,280,1.128274002e+02,1.912872940e-01,6.868272400e+01,2.989308350e-02,3.869826528e+06,1.234215248e+02,6.514919211e+05,8.035709559e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
71,18,17.953113,26,0.0556776,18,232,18,280,26,232,26,280,7.465103149e+01,3.496347368e-01,5.821289825e+01,6.228542328e-02,3.055935494e+06,3.206794179e+02,6.854690474e+05,2.558308646e+01,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
