# producer=CAELIX
# when=2026-02-18T18:21:51
# cwd=
# python=
# command= /core.py --out _Output/09_sg_collider/09G_collidersg_transistor_calibration/20260218_182150 --collidersg --collidersg-scenario E --collidersg-sprites [{"sid":1,"kind":"kink_wall","pos":[60,96,96],"vel":[0.52,0.0,0.0],"phase":0.0}] --collidersg-steps 1500 --collidersg-log-every 1 --collidersg-track-r 6 --collidersg-peak-thresh 0.001 --collidersg-phi-abs-every 100 --collidersg-k 0.08 --collidersg-k-outside 5.0 --collidersg-wire-y0 90 --collidersg-wire-y1 102 --collidersg-wire-z0 90 --collidersg-wire-z1 102 --collidersg-wire-bevel 0 --traffic-mode sine_gordon --collidersg-boundary neumann --n 192 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 0.05 --traffic-gamma 0.0 --traffic-decay 0.0
# run_id=20260218_182150
# experiment=09G_collidersg_transistor_calibration
# artefact=collidersg
# n=192
# seed=6174
# traffic_c2=0.31
# traffic_dt=0.05
# traffic_gamma=0.0
# traffic_decay=0.0
# boundary_mode=neumann
# sponge_width=0
# sponge_strength=0.0
# sg_k=0.08
# asset_sg_k=nan
# sg_k_inferred=0
# steps=1500
# log_every=1
# phi_abs_every=100
# track_r=6
# peak_thresh=0.001
# sprite_count=1
# scenario=E
# sprites_src=inline_json
# sprite_asset_h5=
# sg_k_outside=5.0
# wire_y0=90
# wire_y1=102
# wire_z0=90
# wire_z1=102
# wire_bevel=0
# artefact=sg_collision_tracks
# scenario=E
# sprites_digest=07a22c1c26c4
# boundary_mode_eff=neumann sponge_width_eff=0 sponge_strength_eff=0.000000
# k_grid_enabled=1 sg_k_outside=5.000000 wire_y0=90 wire_y1=102 wire_z0=90 wire_z1=102 wire_bevel=0 domain_mask_enabled=1
# vel0_abs_max=1.477914
t,sid,x,y,z,vx,vy,vz,peak_abs,status,phi_abs_max,wall_s
62,1,62.143,95.500,95.500,0.35728,0.00000,0.00000,0.927706,ALIVE,6.283185,0.613
63,1,62.167,95.500,95.500,0.48508,0.00000,0.00000,0.914002,ALIVE,6.283185,0.620
64,1,62.989,95.500,95.500,16.42883,0.00000,0.00000,0.922045,ALIVE,6.283185,0.627
65,1,62.984,95.500,95.500,-0.09529,0.00000,0.00000,0.976485,ALIVE,6.283185,0.634
66,1,62.983,95.500,95.500,-0.01945,0.00000,0.00000,1.026350,ALIVE,6.283185,0.641
67,1,62.986,95.500,95.500,0.06615,0.00000,0.00000,1.070065,ALIVE,6.283185,0.648
68,1,62.994,95.500,95.500,0.16022,0.00000,0.00000,1.106284,ALIVE,6.283185,0.655
69,1,63.007,95.500,95.500,0.26047,0.00000,0.00000,1.133940,ALIVE,6.283185,0.662
70,1,63.025,95.500,95.500,0.36476,0.00000,0.00000,1.152293,ALIVE,6.283185,0.669
71,1,63.049,95.500,95.500,0.47066,0.00000,0.00000,1.160954,ALIVE,6.283185,0.676
72,1,63.078,95.500,95.500,0.57533,0.00000,0.00000,1.159905,ALIVE,6.283185,0.683
73,1,63.112,95.500,95.500,0.67635,0.00000,0.00000,1.149498,ALIVE,6.283185,0.690
74,1,63.150,95.500,95.500,0.77133,0.00000,0.00000,1.130433,ALIVE,6.283185,0.697
75,1,63.835,95.500,95.500,13.68858,0.00000,0.00000,1.150042,ALIVE,6.283185,0.704
76,1,63.851,95.500,95.500,0.32364,0.00000,0.00000,1.208243,ALIVE,6.283185,0.711
77,1,63.870,95.500,95.500,0.39078,0.00000,0.00000,1.260423,ALIVE,6.283185,0.718
78,1,63.893,95.500,95.500,0.46043,0.00000,0.00000,1.305102,ALIVE,6.283185,0.725
79,1,63.920,95.500,95.500,0.53253,0.00000,0.00000,1.341015,ALIVE,6.283185,0.732
80,1,63.950,95.500,95.500,0.60616,0.00000,0.00000,1.367160,ALIVE,6.283185,0.739
81,1,63.984,95.500,95.500,0.68054,0.00000,0.00000,1.382842,ALIVE,6.283185,0.745
82,1,64.022,95.500,95.500,0.75439,0.00000,0.00000,1.387700,ALIVE,6.283185,0.752
83,1,64.063,95.500,95.500,0.82672,0.00000,0.00000,1.381732,ALIVE,6.283185,0.759
84,1,64.108,95.500,95.500,0.89569,0.00000,0.00000,1.365295,ALIVE,6.283185,0.766
85,1,64.156,95.500,95.500,0.96008,0.00000,0.00000,1.339095,ALIVE,6.283185,0.773
86,1,64.716,95.500,95.500,11.20193,0.00000,0.00000,1.354699,ALIVE,6.283185,0.779
87,1,64.750,95.500,95.500,0.66513,0.00000,0.00000,1.414485,ALIVE,6.283185,0.787
88,1,64.785,95.500,95.500,0.71442,0.00000,0.00000,1.466981,ALIVE,6.283185,0.793
89,1,64.823,95.500,95.500,0.76218,0.00000,0.00000,1.510868,ALIVE,6.283185,0.800
90,1,64.864,95.500,95.500,0.80887,0.00000,0.00000,1.545031,ALIVE,6.283185,0.808
91,1,64.907,95.500,95.500,0.85449,0.00000,0.00000,1.568594,ALIVE,6.283185,0.814
92,1,64.951,95.500,95.500,0.89935,0.00000,0.00000,1.580961,ALIVE,6.283185,0.821
93,1,64.999,95.500,95.500,0.94315,0.00000,0.00000,1.581842,ALIVE,6.283185,0.828
94,1,65.048,95.500,95.500,0.98572,0.00000,0.00000,1.571268,ALIVE,6.283185,0.835
95,1,65.099,95.500,95.500,1.02600,0.00000,0.00000,1.549604,ALIVE,6.283185,0.841
96,1,65.152,95.500,95.500,1.06339,0.00000,0.00000,1.517541,ALIVE,6.283185,0.848
97,1,65.620,95.500,95.500,9.34570,0.00000,0.00000,1.480701,ALIVE,6.283185,0.855
98,1,65.666,95.500,95.500,0.93369,0.00000,0.00000,1.537637,ALIVE,6.283185,0.862
99,1,65.714,95.500,95.500,0.95993,0.00000,0.00000,1.586616,ALIVE,6.283185,0.869
100,1,65.763,95.500,95.500,0.98190,0.00000,0.00000,1.626612,ALIVE,6.283185,0.876
101,1,65.813,95.500,95.500,1.00052,0.00000,0.00000,1.656776,ALIVE,6.283185,0.883
102,1,65.864,95.500,95.500,1.01730,0.00000,0.00000,1.676466,ALIVE,6.283185,0.890
103,1,65.916,95.500,95.500,1.03256,0.00000,0.00000,1.685270,ALIVE,6.283185,0.897
104,1,65.968,95.500,95.500,1.04721,0.00000,0.00000,1.683021,ALIVE,6.283185,0.904
105,1,66.021,95.500,95.500,1.06125,0.00000,0.00000,1.669814,ALIVE,6.283185,0.911
