# producer=CAELIX
# when=2026-02-11T17:31:27
# cwd=
# python=
# command= /core.py --out _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126 --n 512 --steps 0 --traffic-iters 250000 --traffic-rate 0.10 --traffic-inject 1.0 --traffic-decay 0.0 --k-index 1.0 --X0 8000 --ds 1.0 --eps 0.005 --delta-load --dump-radial _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126/_csv/01A_pipeline_baseline_hard_boundary_radial_n512_20260211_173126.csv --dump-radial-fit _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126/_csv/01A_pipeline_baseline_hard_boundary_radial_fit_n512_20260211_173126.csv --dump-shapiro _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126/_csv/01A_pipeline_baseline_hard_boundary_shapiro_n512_20260211_173126.csv
# run_id=20260211_173126
# n=512
# steps=0
# traffic_iters=250000
# seed=6174
# lattice_init=sparse
# artefact=radial
r,mean_phi,count,std_phi
216.0,0.00038663603481836617,588648,9.1218880697852e-06
217.0,0.0003733222256414592,594776,9.036298251885455e-06
218.0,0.0003604009107220918,600840,8.973266631073784e-06
219.0,0.00034789543133229017,603800,8.918556886783335e-06
220.0,0.0003357735404279083,612896,8.895234714145772e-06
221.0,0.00032403122168034315,611616,8.883916052582208e-06
222.0,0.0003126434166915715,627128,8.905724826036021e-06
223.0,0.00030155101558193564,626136,8.947989044827409e-06
224.0,0.00029083731351420283,635480,9.022972335515078e-06
225.0,0.00028047178057022393,637800,9.1073188741575e-06
226.0,0.00027041180874221027,643424,9.220861102221534e-06
227.0,0.00026068391161970794,651392,9.34270974539686e-06
228.0,0.00025121340877376497,654384,9.51487436395837e-06
229.0,0.0002420828095637262,662816,9.6827398010646e-06
230.0,0.0002331846480956301,669720,9.889715329336468e-06
231.0,0.00022455766156781465,671144,1.0115752957062796e-05
232.0,0.0002162503806175664,680480,1.0361720342189074e-05
233.0,0.00020816402684431523,682488,1.0628819836711045e-05
234.0,0.0002003367117140442,693920,1.0917729923676234e-05
235.0,0.00019270907796453685,694896,1.1236545105930418e-05
236.0,0.00018535558774601668,705056,1.158268150902586e-05
237.0,0.0001782248873496428,708264,1.1924837963306345e-05
238.0,0.0001712947996566072,712400,1.2319476809352636e-05
239.0,0.0001646052551222965,720248,1.2708085705526173e-05
240.0,0.0001580925891175866,729072,1.3126333215041086e-05
241.0,0.00015175669977907091,734144,1.3584457519755233e-05
242.0,0.0001456173340557143,738168,1.4065452887734864e-05
243.0,0.0001396918814862147,745544,1.4532354725815821e-05
244.0,0.00013392404071055353,752664,1.5054237337608356e-05
245.0,0.00012834359949920326,757208,1.557630457682535e-05
