# producer=CAELIX
# when=2026-02-11T23:28:42
# cwd=
# python=
# command= /core.py --out _Output/02_interference/02A_double_slit_single_slit_control/20260211_232841 --double-slit --ds-single-slit --ds-source sine --ds-omega 0.80 --ds-gun-speed 0.0 --ds-burn 600 --ds-window 200 --ds-sample-every 4 --ds-amp 1000.0 --traffic-mode telegraph --traffic-gamma 0.0001 --traffic-boundary sponge --traffic-sponge-width 32 --traffic-sponge-strength 1.0 --n 512 --ds-wall-x 256 --ds-detector-x 470 --ds-gun-stop 246 --ds-steps 5000 --ds-slit-width 8 --ds-sample-every 1
# run_id=20260211_232841
# experiment=02A_double_slit_single_slit_control
# artefact=double_slit
# n=512
# ds_steps=5000
# seed=6174
# lattice_init=sparse
# traffic_mode=telegraph
# traffic_c2=0.25
# traffic_gamma=0.0001
# traffic_dt=1.0
# traffic_decay=0.0
# double-slit
# n=512 steps=5000 wall_x=256 detector_x=470 cz=256 cy=256
# slits: slit_sep=16 slit_width=8 single_slit=1 y1=[252:260] y2=[0:0] z=[0:512)
# detector: line_y at x=470, z=256; intensity=phi^2
# detector_y=[32:480) boundary=sponge sponge_width=32 sponge_strength=1
# gun: start=10 stop=246 speed=0
# src: mode=sine amp=1000 omega=0.8 half_period=0
# chirality: select=0 field=none
# sampling: burn=600 sample_every=1 samples=4400 window=200
# dump_samples=0
# section:pattern_mean
y,y_off,intensity,intensity_norm
77,-179,3.02557052937e-13,0.00032073800843
78,-178,2.92792189194e-13,0.000310386364272
79,-177,2.81357640207e-13,0.000298264701816
80,-176,2.70031793848e-13,0.000286258274038
81,-175,2.59248092206e-13,0.000274826568993
82,-174,2.47443924347e-13,0.000262313076898
83,-173,2.35230782552e-13,0.000249366035214
84,-172,2.23824983028e-13,0.000237274849806
85,-171,2.12188298658e-13,0.00022493890545
86,-170,1.99899125206e-13,0.000211911263291
87,-169,1.88179778325e-13,0.000199487689151
88,-168,1.769348652e-13,0.000187567057965
89,-167,1.65191107184e-13,0.000175117605801
90,-166,1.53598419279e-13,0.000162828301701
91,-165,1.42907335354e-13,0.000151494779865
92,-164,1.32208288193e-13,0.000140152816274
93,-163,1.21528961951e-13,0.000128831758653
94,-162,1.11686707733e-13,0.000118398073549
95,-161,1.02462257465e-13,0.000108619316851
96,-160,9.35183058267e-14,9.91379142262e-05
97,-159,8.51300023929e-14,9.02455492612e-05
98,-158,7.77007616257e-14,8.23698779962e-05
99,-157,7.08881233352e-14,7.51478614667e-05
100,-156,6.45344138583e-14,6.84123512414e-05
101,-155,5.91510938241e-14,6.27055421298e-05
102,-154,5.47336184507e-14,5.80226162492e-05
103,-153,5.10443636363e-14,5.41116704283e-05
104,-152,4.82877345967e-14,5.11893927965e-05
105,-151,4.67095992285e-14,4.95164256978e-05
106,-150,4.61418216174e-14,4.8914529763e-05
107,-149,4.64756126414e-14,4.92683786231e-05
108,-148,4.79634491756e-14,5.08456207405e-05
109,-147,5.07083947146e-14,5.37555127985e-05
110,-146,5.45163958761e-14,5.77923405531e-05
111,-145,5.93802018481e-14,6.29484174838e-05
112,-144,6.56615132728e-14,6.96071791855e-05
113,-143,7.33206760547e-14,7.77265887086e-05
114,-142,8.20388936554e-14,8.69686927124e-05
115,-141,9.19839627802e-14,9.75113709736e-05
116,-140,1.03461361882e-13,0.00010967845845
117,-139,1.1645188306e-13,0.000123449593021
118,-138,1.30550995943e-13,0.000138395935678
119,-137,1.45751805356e-13,0.000154510176911
120,-136,1.62661712578e-13,0.000172436217347
121,-135,1.81255502278e-13,0.000192147326441
122,-134,2.0093549934e-13,0.000213009914182
123,-133,2.21535563708e-13,0.000234847856992
124,-132,2.4360517023e-13,0.000258243648213
125,-131,2.67698197298e-13,0.00028378444934
126,-130,2.93327577949e-13,0.000310953925072
127,-129,3.19725761861e-13,0.00033893840222
128,-128,3.47130689134e-13,0.000367990118944
129,-127,3.76421951773e-13,0.00039904152281
130,-126,4.07824400831e-13,0.000432330976396
131,-125,4.40380191445e-13,0.000466843076983
132,-124,4.73300315484e-13,0.000501741404155
133,-123,5.07116545107e-13,0.000537589684791
134,-122,5.42945490531e-13,0.000575571627329
135,-121,5.81008996374e-13,0.000615922407255
136,-120,6.20097428331e-13,0.000657359702128
137,-119,6.59193341718e-13,0.000698804927998
138,-118,6.9889800259e-13,0.000740895481597
139,-117,7.40559237853e-13,0.000785060182097
140,-116,7.84747666139e-13,0.000831903937172
141,-115,8.30368555017e-13,0.000880266230827
142,-114,8.75800308973e-13,0.000928428024254
143,-113,9.21029484293e-13,0.000976375065892
144,-112,9.67490956591e-13,0.00102562845446
145,-111,1.01644991259e-12,0.00107752940302
146,-110,1.06765821612e-12,0.00113181486466
147,-109,1.11930955454e-12,0.0011865699836
148,-108,1.17009905493e-12,0.00124041147579
149,-107,1.22060087619e-12,0.00129394800192
150,-106,1.27249028134e-12,0.00134895549326
151,-105,1.32702470545e-12,0.00140676694538
152,-104,1.38361818658e-12,0.00146676118532
153,-103,1.44032227287e-12,0.00152687267678
154,-102,1.49585411399e-12,0.0015857414817
155,-101,1.55055367699e-12,0.00164372799607
156,-100,1.60614793451e-12,0.00170266296806
157,-99,1.66430501907e-12,0.00176431476991
158,-98,1.72489706175e-12,0.00182854784895
159,-97,1.78628292509e-12,0.00189362245013
160,-96,1.84663630841e-12,0.00195760252853
161,-95,1.90519700296e-12,0.0020196821937
162,-94,1.96315781062e-12,0.00208112592419
163,-93,2.02257804238e-12,0.00214411677702
164,-92,2.08458764129e-12,0.00220985259466
165,-91,2.14877090264e-12,0.00227789269229
