# producer=CAELIX
# when=2026-02-13T00:14:54
# cwd=
# python=
# command= /core.py --out _Output/06_relativity/06A_oscillator_phase_drift_lensing/20260213_001453 --oscillator --traffic-mode telegraph --n 512 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.0 --osc-mass-iters 220512 --osc-mass-inject 2.0 --osc-steps 4000 --osc-burn 800 --osc-warm 400 --osc-sample-every 1 --osc-omega 0.15 --osc-amp 25.0 --osc-r-near 16 --osc-r-far 160 --osc-lens --osc-ray-count 128 --osc-ray-step 0.75 --osc-ray-max 640
# run_id=20260213_001453
# experiment=06A_oscillator_phase_drift_lensing
# artefact=oscillator_phase_drift
# n=512
# seed=6174
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# mass_iters=220512
# mass_inject=2.0
# mass_amp=1.0
# mass_boundary=zero
# mass_sponge_width=0
# mass_sponge_strength=0.0
# axis=x
# r_near=16
# r_far=160
# omega=0.15
# drive_amp=25.0
# steps=4000
# burn=800
# warm=400
# demod_window=256
# series_every=1
# artefact=oscillator_phase_series
t,phi_near_ac,phi_far_ac
998,-18.05170249938965,-17.577348709106445
999,-16.287132263183594,-15.81783676147461
1000,-14.166120529174805,-13.70266342163086
1001,-11.735894203186035,-11.278046607971191
1002,-9.050017356872559,-8.599692344665527
1003,-6.169331073760986,-5.727705001831055
1004,-3.160001516342163,-2.7261080741882324
1005,-0.08972302079200745,0.33726924657821655
1006,2.974654197692871,3.3936614990234375
1007,5.96312952041626,6.374453544616699
1008,8.80718994140625,9.212926864624023
1009,11.443805694580078,11.844389915466309
1010,13.813943862915039,14.208272933959961
1011,15.864531517028809,16.253400802612305
1012,17.54998779296875,17.935388565063477
1013,18.833480834960938,19.214292526245117
1014,19.684471130371094,20.06180191040039
1015,20.082624435424805,20.459720611572266
1016,20.021175384521484,20.397689819335938
1017,19.501588821411133,19.878311157226562
1018,18.53434944152832,18.914400100708008
1019,17.140918731689453,17.526668548583984
1020,15.35340690612793,15.744499206542969
1021,13.211706161499023,13.608346939086914
1022,10.763896942138672,11.167815208435059
1023,8.066914558410645,8.476333618164062
1024,5.180092811584473,5.594840049743652
1025,2.16634202003479,2.587977647781372
1026,-0.90592360496521,-0.4775654971599579
1027,-3.9665989875793457,-3.5311331748962402
1028,-6.947531223297119,-6.5047688484191895
1029,-9.782748222351074,-9.331231117248535
1030,-12.407361030578613,-11.947344779968262
1031,-14.762757301330566,-14.296156883239746
